index,basis_q_high_to_low,p,f,target_amplitude,numpy_real,numpy_imag
0,000,-3.1415926535897931,0.043213918263772258,0.03424404496543379,0.034244044965433595,0
1,001,-2.3561944901923448,0.094780224842154856,0.075106780679261506,0.075106780679261437,0
2,010,-1.5707963267948966,0.20787957635076193,0.16473020373897967,0.16473020373897965,0
3,011,-0.78539816339744828,0.52758909514338903,0.41807791154427115,0.41807791154427104,0
4,100,0,1,0.79243091904817564,0.79243091904817564,0
5,101,0.78539816339744828,0.45593812776599624,0.36129946961471293,0.36129946961471288,0
6,110,1.5707963267948966,0.20787957635076193,0.16473020373897967,0.16473020373897967,0
7,111,2.3561944901923448,0.094780224842154856,0.075106780679261506,0.07510678067926152,0
