verifier,semantic_level,status,repeats,median_ms,mean_ms,min_ms,max_ms,complete_for_main_case,final_acceptance_gate,detail
numpy_exact_matrix,exact finite matrix check,passed,5,0.029277056455612183,0.031251460313797,0.02771243453025818,0.03876909613609314,True,False,passed exact finite check
qiskit_operator,exact finite Qiskit Operator check,passed,5,0.5072392523288727,0.5160391330718994,0.4932507872581482,0.5728974938392639,True,False,passed exact finite check
lean_lake_build_tests,formal theorem/proof gate,passed,1,484.03220996260643,484.03220996260643,484.03220996260643,484.03220996260643,True,True,Build completed successfully (18 jobs).
