time_qubits,total_qubits_with_ancilla,dense_dimension,dense_unitary_entries,dense_complex128_bytes,dense_complex128_human,interpretation
1,4,16,256,4096,4.00 KiB,small finite smoke-check scale
4,7,128,16384,262144,256.00 KiB,small finite smoke-check scale
8,11,2048,4194304,67108864,64.00 MiB,small finite smoke-check scale
12,15,32768,1073741824,17179869184,16.00 GiB,workstation-scale dense check
16,19,524288,274877906944,4398046511104,4.00 TiB,large-memory dense check
20,23,8388608,70368744177664,1125899906842624,1.00 PiB,impractical for routine verifier feedback
24,27,134217728,18014398509481984,288230376151711744,256.00 PiB,impractical for routine verifier feedback
28,31,2147483648,4611686018427387904,73786976294838206464,64.00 EiB,symbolic theorem route required in practice
32,35,34359738368,1180591620717411303424,18889465931478580854784,16.00 ZiB,symbolic theorem route required in practice
