generation,tier,champion_id,best_gate_count,best_depth,best_auxiliary_qubits,best_oracle_calls,strict_improvement,lean_certificates,event
2,concrete-logical-permutation-matrix,reduced-depth5-fixed-completion,6,5,1,0,true,"reducedDepth5Verified; reducedDepth5Unitary_isRationalOrthogonal; reducedDepth5Unitary_cleanBlock; reducedDepth5GateImages_eval; reducedDepth5Candidate_cost",first concrete logical permutation-matrix BE certificate
6,concrete-logical-permutation-matrix,pro-eq-transfer-r1-k1,4,4,1,0,true,"proEqTransferVerified; proEqTransferUnitary_isRationalOrthogonal; proEqTransferUnitary_cleanBlock; proEqTransferGateImages_eval; proEqTransferCandidate_cost; proEqTransferCost_betterThan_depth5",ChatGPT Pro equality-flag transfer certificate improves gate count and depth
7,concrete-logical-permutation-matrix,evolved-eq-flip-r1-k1,4,2,1,0,true,"evolvedEqFlipVerified; evolvedEqFlipUnitary_isRationalOrthogonal; evolvedEqFlipUnitary_cleanBlock; evolvedEqFlipGateImages_eval; evolvedEqFlipCandidate_cost",EoH mutation reaches current concrete logical champion
